slug,name,region,district,category,gender
achimota-senior-high,Achimota Senior High,Greater Accra,Okaikwei North,A,Mixed
aburi-girls-senior-high,Aburi Girls' Senior High,Eastern,Akwapim South,A,Girls
mfantsipim-school,Mfantsipim School,Central,Cape Coast,A,Boys
presby-boys-senior-high-legon,"Presby Boys' Senior High, Legon",Greater Accra,La Nkwantanang Madina,A,Boys
adisadel-college,Adisadel College,Central,Cape Coast,A,Boys
wesley-girls-senior-high-cape-coast,"Wesley Girls' High School, Cape Coast",Central,Cape Coast,A,Girls
accra-academy,Accra Academy,Greater Accra,Accra,A,Boys
holy-child-school-cape-coast,"Holy Child School, Cape Coast",Central,Cape Coast,A,Girls
abomosu-stem-senior-high,Abomosu STEM Senior High,Eastern,Atiwa West,A,Mixed
prempeh-college,Prempeh College,Ashanti,Kumasi Metro,A,Boys
kumasi-tech-inst,Kumasi Tech. Inst.,Ashanti,Kumasi Metro,A,Mixed
st-louis-senior-high-kumasi,"St. Louis Senior High, Kumasi",Ashanti,Kumasi Metro,A,Girls
ghana-senior-high-koforidua,"Ghana Senior High, Koforidua",Eastern,New Juaben North Municipal,A,Mixed
accra-tech-trg-centre,Accra Tech. Trg. Centre,Greater Accra,Ayawaso South,A,Mixed
opoku-ware-senior-high,Opoku Ware School,Ashanti,Kumasi Metro,A,Boys
st-augustine-s-college-cape-coast,"St. Augustine's College, Cape Coast",Central,Cape Coast,A,Boys
mawuli-school-ho,"Mawuli School, Ho",Volta,Ho Municipal,A,Mixed
yaa-asantewaa-girls-senior-high,Yaa Asantewaa Girls Senior High .,Ashanti,Kumasi Metro,A,Girls
mfantsiman-girls-senior-high,Mfantsiman Girls' Senior High,Central,Mfantseman Municipal,A,Girls
accra-girls-senior-high,Accra Girls Senior High .,Greater Accra,Ayawaso North,A,Girls
t-i-ahmadiyya-senior-high-kumasi,"T. I. Ahmadiyya Senior High, Kumasi",Ashanti,Kumasi Metro,A,Mixed
kumasi-high-school,Kumasi High School,Ashanti,Kumasi Metro,A,Boys
tamale-senior-high,Tamale Senior High .,Northern,Sagnerigu Municipal,A,Mixed
koforidua-senior-high-tech,Koforidua Senior High/Tech,Eastern,New Juaben North Municipal,A,Mixed
st-peter-s-senior-high-nkwatia,"St. Peter's Senior High, Nkwatia",Eastern,Kwahu East,A,Boys
tema-senior-high,Tema Senior High,Greater Accra,Tema West Municipal,A,Mixed
cape-coast-tech-inst,Cape Coast Tech. Inst.,Central,Cape Coast,A,Mixed
ghana-national-college,Ghana National College,Central,Cape Coast,B,Mixed
ghana-senior-high-tech,Ghana Senior High/Tech,Western,Sekondi Takoradi,A,Boys
accra-wesley-girls-high,Accra Wesley Girls High,Greater Accra,Accra,C,Girls
archbishop-porter-girls-snr-high,Archbishop Porter Girls Snr.High .,Western,Sekondi Takoradi,A,Girls
kpando-tech-inst,Kpando Tech. Inst.,Volta,Kpando Municipal,A,Mixed
okuapeman-senior-high,Okuapeman Senior High,Eastern,Akwapim North Municipal,A,Mixed
st-rose-s-senior-high-akwatia,"St. Rose's Senior High, Akwatia",Eastern,Denkyembour,A,Girls
accra-senior-high,Accra Senior High,Greater Accra,Accra,B,Mixed
koforidua-tech-inst,Koforidua Tech. Inst.,Eastern,New Juaben South Municipal,A,Mixed
labone-senior-high,Labone Senior High,Greater Accra,La Dade-Kotopon Municipal,B,Mixed
st-mary-s-senior-high-korle-gonno,"St. Mary's Senior High, Korle Gonno",Greater Accra,Accra,A,Girls
st-thomas-aquinas-senior-high-cantoments,"St. Thomas Aquinas Senior High, Cantoments",Greater Accra,La Dade-Kotopon Municipal,A,Boys
bosomtwe-stem-academy,Bosomtwe STEM Academy,Ashanti,Bosomtwe,A,Boys
ghana-senior-high-tamale,"Ghana Senior High School, Tamale",Northern,Tamale Metro,A,Mixed
knust-senior-high,KNUST Senior High,Ashanti,Kumasi Metro,B,Mixed
st-james-sem-senior-high-abesim,"St. James Sem & Senior High, Abesim",Bono,Sunyani,A,Boys
abetifi-kyemase-technical-institute,Abetifi Kyemase Technical Institute,Eastern,Kwahu East,A,Mixed
aggrey-mem-a-m-e-zion-snr-high,Aggrey Mem. A.M.E.Zion Snr. High,Central,Abura Asebu Kwamankese,B,Mixed
fijai-senior-high,Fijai Senior High,Western,Sekondi Takoradi,A,Mixed
